athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,First Name,born_year
140215,Sebas Diniz,2002-01-16,,,,Netherlands,,,,Sebas,2002.0
140216,Ilka Fuzesy,2003-10-16,Cluj-Napoca,Cluj,ROU,Romania,,,,Ilka,2003.0
140217,Aleksandra Rutkovskaya,2002-04-03,,,,Russian Federation,,,,Aleksandra,2002.0
140218,Fran Vanhoutte,2003-05-24,,,,Belgium,,,,Fran,2003.0
140219,Michał Kopacz,2004-01-20,,,,Poland,,,,Michał,2004.0
140220,Serena Pergher,2004-02-26,Trento,Trento,ITA,Italy,,,,Serena,2004.0
140221,Nuraly Akzhol,2003-09-16,,,,Kazakhstan,,,,Nuraly,2003.0
140222,Kang Soo-Min,2003-07-11,,,,Republic of Korea,,,,Kang,2003.0
140223,Victoria Stirnemann,2002-05-24,Erfurt,Thüringen,GER,Germany,,,,Victoria,2002.0
140224,Theo Collins,2003-11-05,,,,Great Britain,,,,Theo,2003.0
140225,Pavel Taran,2002-02-15,,,,Russian Federation,,,,Pavel,2002.0
140226,Anna Ostlender,2002-04-25,,,,Germany,,,,Anna,2002.0
140227,Karyna Shypulia,2002-06-26,Vitebsk,Vitebsk,BLR,Belarus,,,,Karyna,2002.0
140228,Maksim Fiodarav,2002-12-28,,,,Belarus,,,,Maksim,2002.0
140229,Jenell Berhorst,2003-12-13,Seattle,Washington,USA,United States,,,,Jenell,2003.0
140230,Julian Macaraeg,2003-05-15,,,,Philippines,,,,Julian,2003.0
140231,Matt Gardner,2002-03-16,,,,Great Britain,,,,Matt,2002.0
140232,Petra Rusnáková,2002-01-04,,,,Slovakia,,,,Petra,2002.0
140233,Félix Pigeon,2002-06-18,,,,Canada,,,,Félix,2002.0
140234,Thibault Métraux,2002-01-10,,,,Switzerland,,,,Thibault,2002.0
140235,Jang Sung-Woo,2002-03-19,,,,Republic of Korea,,,,Jang,2002.0
140236,Markéta Fajkusová,2003-11-22,,,,Czechia,,,,Markéta,2003.0
140237,Trevor Tan,2002-09-13,,,,Singapore,,,,Trevor,2002.0
140238,Haruna Nagamori,2002-04-25,,,,Japan,,,,Haruna,2002.0
140239,Warre van Damme,2003-01-14,,,,Belgium,,,,Warre,2003.0
140240,Maja Ivandić,2002-04-12,,,,Croatia,,,,Maja,2002.0
140241,Zhang Chutong,2003-02-17,,,,People's Republic of China,,,,Zhang,2003.0
140242,Shogo Miyata,2003-01-27,Osaka,Osaka,JPN,Japan,,,,Shogo,2003.0
140243,Tan Dione,2003-05-07,,,,Malaysia,,,,Tan,2003.0
140244,Daniil Nikolayev,2003-04-09,,,,Russian Federation,,,,Daniil,2003.0
140245,Gabriel Volet,2003-08-12,,,,France,,,,Gabriel,2003.0
140246,Kieran Guan,2002-12-31,Kogarah,New South Wales,AUS,Australia,,,,Kieran,2002.0
140247,Diede van Oorschot,2003-12-11,,,,Netherlands,,,,Diede,2003.0
140248,Tetiana Zarvanska,2002-05-27,,,,Ukraine,174.0,72.0,,Tetiana,2002.0
140249,Mariya Gorbunobva,2003-02-03,,,,Kazakhstan,,,,Mariya,2003.0
140250,Yuliya Beresneva,2002-05-13,,,,Russian Federation,,,,Yuliya,2002.0
140251,Sanzhar Zhanissov,2002-07-17,,,,Kazakhstan,,,,Sanzhar,2002.0
140252,Cloé Ollivier,2004-02-04,,,,France,,,,Cloé,2004.0
140253,Zhang Tianyi,2004-08-25,,,,People's Republic of China,,,,Zhang,2004.0
140254,Mateusz Krzemiński,2002-08-30,,,,Poland,,,,Mateusz,2002.0
140255,Liao Wei-Cheng,2002-02-26,,,,Chinese Taipei,,,,Liao,2002.0
140256,Barbara Somogyi,2002-08-09,Jászberény,Jász-Nagykun-Szolnok,HUN,Hungary,,,,Barbara,2002.0
140257,Danylo Fedorenko,2002-04-20,,,,Ukraine,179.0,69.0,,Danylo,2002.0
140258,Michelle Velzeboer,2003-03-09,,,,Netherlands,,,,Michelle,2003.0
140259,Natthapat Kancharin,2003-03-28,,,,Thailand,,,,Natthapat,2003.0
140260,Kim Chan-Seo,2002-07-07,,,,Republic of Korea,,,,Kim,2002.0
140261,Hailey Choi,2003-11-14,Fairfax,Virginia,USA,United States,,,,Hailey,2003.0
140262,Anna Ruysschaert,2002-12-03,,,,Luxembourg,,,,Anna,2002.0
140263,Elisa Confortola,2002-04-02,Sondalo,Sondrio,ITA,Italy,,,,Elisa,2002.0
140264,Jonathan So,2002-05-05,Fairfax,Virginia,USA,United States,,,,Jonathan,2002.0
140265,Seo Hwi-Min,2002-03-13,,,,Republic of Korea,,,,Seo,2002.0
140266,Li Kongchao,2002-09-07,,,,People's Republic of China,,,,Li,2002.0
140267,Ethan de Rose,2002-04-22,,,,New Zealand,,,,Ethan,2002.0
140268,Till Schäfer,2003-10-15,,,,Germany,,,,Till,2003.0
140269,Hanna Sokołowska,2003-06-03,,,,Poland,,,,Hanna,2003.0
140270,Lyubomir Kalchev,2003-09-17,Sofia,Sofia Grad,BUL,Bulgaria,,,,Lyubomir,2003.0
140271,Yeo Sean,2003-07-30,,,,Malaysia,,,,Yeo,2003.0
140272,Péter Jászapáti,2003-02-07,Szeged,Csongrád,HUN,Hungary,,,,Péter,2003.0
140273,Maria Dobosz,2003-07-30,,,,Poland,,,,Maria,2003.0
140274,Māris Šternmanis,2004-07-30,,,,Latvia,,,,Māris,2004.0
140275,Florence Brunelle,2003-12-20,Trois-Rivières,Québec,CAN,Canada,173.0,,,Florence,2003.0
140276,Lee Jeong-Min,2002-01-25,,,,Republic of Korea,,,,Lee,2002.0
140277,Jenning de Boo,2004-01-22,,,,Netherlands,,,,Jenning,2004.0
140278,Chang Hui,2002-11-01,,,,Chinese Taipei,,,,Chang,2002.0
140279,Vladimir Balbekov,2002-09-11,,,,Russian Federation,,,,Vladimir,2002.0
140280,Betty Moeske,2003-08-18,Rostock,Mecklenburg-Vorpommern,GER,Germany,,,,Betty,2003.0
140281,Petra Jašić,2002-01-25,,,,Serbia,,,,Petra,2002.0
140282,Alexia Turunen,2004-10-19,,,,Switzerland,,,,Alexia,2004.0
140283,Stribor Suman,2002-03-05,,,,Croatia,,,,Stribor,2002.0
140284,Anna Jansone,2003-11-11,,,,Latvia,,,,Anna,2003.0
140285,Olivia Weedon,2002-03-30,,,,Great Britain,,,,Olivia,2002.0
140286,Tobias Wolf,2004-11-07,Feldbach,Steiermark,AUT,Austria,175.0,61.0,,Tobias,2004.0
140287,Alyssa Pok,2004-08-05,,,,Singapore,,,,Alyssa,2004.0
140288,Kosei Hayashi,2003-10-23,,,,Japan,,,,Kosei,2003.0
140289,Thomas Nadalini,2002-05-02,Trento,Trento,ITA,Italy,,,,Thomas,2002.0
140316,Sophia Zitzmann,2003-02-20,,,,Germany,,,,Sophia,2003.0
140317,Leopold Frey,2003-08-10,,,,Germany,,,,Leopold,2003.0
140318,Madlen Loss,2003-03-04,,,,Austria,,,,Madlen,2003.0
140319,Will Healy,2002-03-11,Stamford,Connecticut,USA,United States,,,,Will,2002.0
140320,Riley Jacobs,2003-08-14,Steamboat Springs,Colorado,USA,United States,,,,Riley,2003.0
140321,Ruslan Gazizov,2004-01-21,,,,Russian Federation,,,,Ruslan,2004.0
140322,Kocha Delic,2004-03-11,Mississauga,Ontario,CAN,Canada,,,,Kocha,2004.0
140403,Farzad Mansouri,2002-03-19,,,,Afghanistan,,,,Farzad,2002.0
140407,Kledi Kadiu,2003-10-28,,,,Albania,,,,Kledi,2003.0
140411,Kaouther Belkebir,2003-08-05,,,,Algeria,,,,Kaouther,2003.0
140412,Meriem Mebarki,2003-06-22,,,,Algeria,,,,Meriem,2003.0
140433,Stelvia Pascoal,2002-10-20,Luanda,Luanda,ANG,Angola,172.0,77.0,,Stelvia,2002.0
140436,Aveni Miguel,2002-08-19,,,,Angola,,,,Aveni,2002.0
140437,Salvador Gordo,2003-01-07,,,,Angola,,,,Salvador,2003.0
140438,Joella Lloyd,2002-04-12,,,,Antigua and Barbuda,,,,Joella,2002.0
140439,Jalese Gordon,2001-11-08,,,,Antigua and Barbuda,,,,Jalese,2001.0
140452,Valentina Raposo,2003-01-28,Salta,Salta,ARG,Argentina,,,,Valentina,2003.0
140460,Bianca Farriol,2001-12-18,Buenos Aires,Ciudad Autónoma de Buenos Aires,ARG,Argentina,185.0,,,Bianca,2001.0
140467,Victoria Mayer,2001-06-19,Santa Fe,Santa Fe,ARG,Argentina,178.0,,,Victoria,2001.0
140499,Joaquín Blázquez,2001-01-28,Luque,Córdoba,ARG,Argentina,193.0,,,Joaquín,2001.0
